English,POS,Thai
anybody,"Pronoun, Noun",ใครก็ได้
anyone,Pronoun,ใครก็ได้
anything,"Pronoun, Noun",อะไรก็ตาม
anyway,Adverb,ถึงอย่างไร
anywhere,Adverb,ทุกที่
apart,"Adverb, Adjective",ห่างกัน
apart from,"Adverb, Adjective",นอกเหนือจาก
apartment,Noun,อพาร์ทเมนต์
apologize,"Verb (intransitive), Verb (usu participle)",ขอโทษ
apparent,Adjective,ชัดเจน
apparently,Adverb,เห็นได้ชัดว่า
appeal,"Noun, Verb (intransitive)",อุทธรณ์
appear,"Verb (intransitive), Verb (usu participle)",ปรากฏ
appearance,Noun,รูปร่าง
apple,Noun,แอปเปิล
application,Noun,แอปพลิเคชัน
apply,"Verb (usu participle), Verb (intransitive)",นำมาใช้
appoint,Verb (usu participle),แต่งตั้ง
appointment,Noun,การนัดหมาย
appreciate,Verb (usu participle),ชื่นชม
approach,"Verb (usu participle), Verb (transitive)",เข้าใกล้
appropriate,"Adjective, Verb (usu participle)",เหมาะสม
approval,Noun,การอนุมัติ
approve,"Verb (usu participle), Verb (transitive)",อนุมัติ
approving,"Verb (usu participle), Noun",อนุมัติ
approximate,"Adjective, Verb (usu participle)",โดยประมาณ
approximately,Adverb,ประมาณ
April,Noun,เมษายน
area,Noun,พื้นที่
argue,"Verb (usu participle), Verb (intransitive)",โต้แย้ง
argument,Noun,การโต้แย้ง
arise,Verb (usu participle),เกิดขึ้น
arm,"Noun, Verb (transitive)",แขน
armed,Adjective,ติดอาวุธ
arms,"Plural, Noun",แขน
army,Noun,กองทัพบก
around,"Preposition, Adverb",รอบๆ
arrange,"Verb (transitive), Verb (intransitive)",จัด
arrangement,Noun,การจัดเตรียม
arrest,"Verb (transitive), Noun",จับกุม
arrival,Noun,การมาถึง
arrive,"Verb (intransitive), Verb (usu participle)",มาถึง
arrive at,"Verb (intransitive), Verb (usu participle)",มาถึงที่
arrow,Noun,ลูกศร
art,"Noun, Verb (usu participle)",ศิลปะ
article,"Noun, Verb (transitive)",บทความ
artificial,Adjective,เทียม
artificially,Adverb,ดุ้งดิ้ง
artist,Noun,ศิลปิน
artistic,Adjective,ศิลปะ
artistically,Adverb,ในทางศิลปะ
as,"Conjunction, Preposition",เช่น
ashamed,Adjective,ละอาย
aside,"Adverb, Noun",กัน
aside from,"Adverb, Noun",นอกเหนือจาก
ask,"Verb (usu participle), Verb (transitive)",ถาม
asleep,"Adverb, Adjective",นอนหลับ
aspect,Noun,ด้าน
assist,"Verb (usu participle), Verb (intransitive)",ช่วยเหลือ
assistance,Noun,ความช่วยเหลือ
assistant,"Noun, Adjective",ผู้ช่วย
associate,"Verb (usu participle), Verb (intransitive)",เชื่อมโยง
associated,"Verb (usu participle), Adjective",ที่เกี่ยวข้อง
association,Noun,สมาคม
assume,"Verb (transitive), Verb (usu participle)",สมมติ
assure,"Verb (transitive), Verb (usu participle)",รับรอง
at,"Preposition, Noun",ที่
atmosphere,Noun,บรรยากาศ
atom,Noun,อะตอม
attach,"Noun, Verb (usu participle)",แนบ
attached,Adjective,ที่แนบมา
attack,"Verb (usu participle), Verb (intransitive)",จู่โจม
attempt,"Verb (transitive), Noun",พยายาม
attempted,"|, Adjective",พยายามแล้ว
attend,"Verb (usu participle), Verb (transitive)",เข้าร่วม
attend to,"Verb (usu participle), Verb (transitive)",เข้าร่วม
attention,"Noun, Interjection",ความสนใจ
attitude,Noun,ทัศนคติ
attorney,Noun,ทนายความ
attract,Verb (usu participle),ดึงดูด
attraction,Noun,สถานที่ท่องเที่ยว
attractive,Adjective,มีเสน่ห์
audience,Noun,ผู้ชม
August,Noun,สิงหาคม
aunt,Noun,ป้า
author,"Noun, Verb (usu participle)",ผู้เขียน
authority,Noun,อำนาจ
automatic,"Adjective, Noun",อัตโนมัติ
automatically,Adverb,โดยอัตโนมัติ
autumn,"Noun, Adjective",ฤดูใบไม้ร่วง
available,Adjective,มีอยู่
average,"Noun, Adjective",เฉลี่ย
avoid,"Verb (transitive), Verb (usu participle)",หลีกเลี่ยง
awake,"Verb (usu participle), Verb (transitive)",ตื่น
award,"Verb (transitive), Noun",รางวัล
aware,Adjective,รับรู้
away,"Adverb, Adjective",ห่างออกไป
awful,"Adjective, Adverb",แย่มาก
awfully,Adverb,อย่างมาก
awkward,Adjective,งุ่มง่าม
awkwardly,Adverb,อย่างเชื่องช้า
baby,"Noun, Adjective",ที่รัก
back,"Noun, Adjective",กลับ
background,"Noun, Verb (usu participle)",พื้นหลัง
back up,"Noun, Adjective",สำรองข้อมูล
backward,"Adjective, Adverb",ถอยหลัง
backwards,Adverb,ถอยหลัง
bacteria,"Plural, Noun",แบคทีเรีย
bad,"Adjective, Noun",แย่
badly,Adverb,ห่วย
bad-tempered,"Adjective, Noun",อารมณ์ไม่ดี
bag,"Noun, Verb (usu participle)",ถุง
baggage,Noun,สัมภาระ
bake,"Verb (transitive), Verb (intransitive)",อบ
balance,"Noun, Verb (intransitive)",สมดุล
ball,"Noun, Verb (transitive)",ลูกบอล
ban,"Verb (usu participle), Verb (transitive)",ห้าม
band,"Noun, Verb (usu participle)",วงดนตรี
bandage,"Noun, Verb (usu participle)",ผ้าพันแผล
bank,"Noun, Verb (transitive)",ธนาคาร
bar,"Noun, Adjective",บาร์
bargain,"Noun, Verb (usu participle)",ต่อรอง
barrier,Noun,สิ่งกีดขวาง
base,"Noun, Verb (transitive)",ฐาน
based,"Verb (usu participle), Adjective",ซึ่งเป็นรากฐาน
base on,"Noun, Verb (transitive)",อยู่บนพื้นฐาน
basic,"Adjective, Noun",ขั้นพื้นฐาน
basically,Adverb,โดยพื้นฐานแล้ว
basis,Noun,พื้นฐาน
bath,"Noun, Verb (usu participle)",อาบน้ำ
bathroom,Noun,ห้องน้ำ
battery,Noun,แบตเตอรี่
battle,"Noun, Verb (intransitive)",การต่อสู้
bay,"Noun, Verb (intransitive)",อ่าว
be,"Verb (usu participle), Verb (intransitive)",เป็น
beach,"Noun, Verb (usu participle)",ชายหาด
beak,"Noun, Verb (usu participle)",จะงอยปาก
bear,"Verb (usu participle), Verb (intransitive)",หมี
beard,"Noun, Verb (transitive)",หนวดเครา
beat,"Verb (usu participle), Verb (transitive)",ตี
beat up,"Verb (usu participle), Verb (transitive)",เอาชนะ
beautiful,Adjective,สวย
beautifully,Adverb,อย่างสวยงาม
beauty,"Noun, Interjection",ความงาม
because,Conjunction,เพราะ
because of,Conjunction,เนื่องจาก
become,Verb (usu participle),กลายเป็น
bed,"Noun, Verb (usu participle)",เตียง
bedroom,Noun,ห้องนอน
beef,"Noun, Verb (intransitive)",เนื้อวัว
beer,Noun,เบียร์
before,"Conjunction, Preposition",ก่อน
begin,Verb (usu participle),เริ่ม
beginning,"Noun, Adjective",จุดเริ่มต้น
behalf,Noun,ในนามของ
behave,"Verb (intransitive), Verb (usu participle)",ประพฤติ
behaviour,Noun,พฤติกรรม
behind,"Preposition, Adverb",ด้านหลัง
be left over,"Verb (usu participle), Verb (intransitive)",เหลืออยู่
belief,Noun,ความเชื่อ
believe,"Verb (transitive), Verb (intransitive)",เชื่อ
believe in,"Verb (transitive), Verb (intransitive)",เชื่อใน
bell,"Noun, Verb (usu participle)",กระดิ่ง
belong,"Verb (intransitive), Verb (usu participle)",เป็นของ
belong to,"Verb (intransitive), Verb (usu participle)",เป็นของ
below,"Preposition, Adverb",ด้านล่าง
belt,"Noun, Verb (transitive)",เข็มขัด
bend,"Verb (usu participle), Verb (intransitive)",โค้งงอ
beneath,"Preposition, Adverb",ข้างใต้
benefit,"Noun, Verb (usu participle)",ผลประโยชน์
bent,"Adjective, Noun",งอ
beside,"Preposition, Adverb",ข้าง
best,"Adjective, Adverb",ดีที่สุด
bet,"Noun, Verb (usu participle)",เดิมพัน
better,"Adjective, Adverb",ดีกว่า
betting,"Verb (usu participle), Adjective",เดิมพัน
between,"Preposition, Adverb",ระหว่าง
beyond,"Preposition, Adverb",เกิน
bicycle,"Noun, Verb (intransitive)",จักรยาน
bid 1,"Verb (usu participle), Noun",เสนอราคา 1
big,"Adjective, Adverb",ใหญ่
bike,"Noun, Verb (usu participle)",จักรยาน
bill,"Noun, Verb (transitive)",ใบแจ้งหนี้
billion,"Noun, Definite Article",พันล้าน
bin,"Noun, Verb (usu participle)",ถังขยะ
biology,Noun,ชีววิทยา
bird,"Noun, Verb (usu participle)",นก
birth,"Noun, Verb (transitive)",การเกิด
birthday,Noun,วันเกิด
biscuit,Noun,บิสกิต
bit,"Noun, Verb (usu participle)",นิดหน่อย
bite,"Verb (usu participle), Verb (transitive)",กัด
bitter,"Adjective, Adverb",ขม
bitterly,Adverb,อย่างขมขื่น
black,"Adjective, Noun",สีดำ
blade,Noun,ใบมีด
blame,"Noun, Verb (transitive)",ตำหนิ
blank,"Adjective, Noun",ว่างเปล่า
blind,"Adjective, Adverb",ตาบอด
block,"Noun, Verb (usu participle)",ปิดกั้น
blonde,"Noun, Adjective",สีบลอนด์
blood,"Noun, Verb (transitive)",เลือด
blow,"Verb (usu participle), Verb (transitive)",เป่า
blow out,"Verb (usu participle), Verb (transitive)",ระเบิดออก
blow up,"Verb (usu participle), Verb (transitive)",ระเบิด
blue,"Noun, Adjective",สีฟ้า
board,"Noun, Verb (usu participle)",กระดาน
boat,"Noun, Verb (intransitive)",เรือ
body,"Noun, Verb (usu participle)",ร่างกาย
boil,"Verb (usu participle), Verb (intransitive)",ต้ม
bomb,"Adjective, Noun",ระเบิด
bone,"Noun, Verb (usu participle)",กระดูก
book,"Noun, Verb (usu participle)",หนังสือ
boot,"Noun, Verb (transitive)",บูต
border,"Noun, Verb (transitive)",ชายแดน
bore,"Verb (usu participle), Verb (transitive)",เบื่อ
bored,"Verb (usu participle), Adjective",เบื่อ
boring,"Noun, Adjective",น่าเบื่อ
born,"Verb (usu participle), Adjective",เกิด
borrow,"Verb (usu participle), Verb (intransitive)",ยืม
boss,"Noun, Verb (usu participle)",เจ้านาย
both,"Definite Article, Conjunction",ทั้งคู่
bother,"Verb (transitive), Noun",รบกวน
bottle,"Noun, Verb (transitive)",ขวด
bottom,"Noun, Adjective",ด้านล่าง
bound,"Verb (usu participle), Adjective",ผูกพัน
bowl,"Noun, Verb (usu participle)",ชาม
box,"Noun, Verb (transitive)",กล่อง
boy,"Noun, Interjection",เด็กผู้ชาย
boyfriend,Noun,แฟน
brain,"Noun, Verb (transitive)",สมอง
branch,"Noun, Verb (intransitive)",สาขา
brand,"Noun, Verb (transitive)",ยี่ห้อ
brave,"Adjective, Noun",กล้าหาญ
bread,"Noun, Verb (transitive)",ขนมปัง
break,"Verb (usu participle), Verb (transitive)",หยุดพัก
break down,"Verb (usu participle), Verb (transitive)",พังทลาย
breakfast,"Noun, Verb (usu participle)",อาหารเช้า
break in,"Verb (usu participle), Verb (transitive)",บุกเข้ามา
break into,"Verb (usu participle), Verb (transitive)",บุกเข้าไป
break off,"Verb (usu participle), Verb (transitive)",แตกออก
break out,"Verb (usu participle), Verb (transitive)",แตกออก
break up,"Verb (usu participle), Verb (transitive)",เลิกกัน
breast,"Noun, Verb (transitive)",หน้าอก
breath,Noun,ลมหายใจ
breathe,"Verb (usu participle), Verb (intransitive)",หายใจ
breathe in,"Verb (usu participle), Verb (intransitive)",หายใจเข้า
breathe out,"Verb (usu participle), Verb (intransitive)",หายใจออก
breathing,"Noun, Adjective",การหายใจ
breed,"Verb (usu participle), Verb (transitive)",พันธุ์
brick,"Noun, Verb (transitive)",อิฐ
bridge,"Noun, Verb (usu participle)",สะพาน
brief,"Adjective, Noun",รวบรัด
briefly,Adverb,สั้น ๆ
bright,"Adjective, Noun",สว่าง
brightly,Adverb,สดใส
brilliant,"Adjective, Noun",ฉลาดหลักแหลม
bring,Verb (usu participle),นำมา
bring back,Verb (usu participle),นำกลับมา
bring down,Verb (usu participle),นำมาลง
bring forward,Verb (usu participle),นำมาข้างหน้า
bring out,Verb (usu participle),นำออกมา
bring up,Verb (usu participle),นำขึ้นมา
broad,"Adjective, Noun",กว้างๆ
broadcast,"Verb (usu participle), Verb (intransitive)",ออกอากาศ
broadly,Adverb,กว้างๆ
broken,"Verb (usu participle), Adjective",แตกหัก
brother,"Noun, Interjection",พี่ชาย
brown,"Noun, Adjective",สีน้ำตาล
brush,"Noun, Verb (transitive)",แปรง
bubble,"Noun, Verb (usu participle)",ฟอง
budget,"Noun, Verb (transitive)",งบประมาณ
build,"Verb (usu participle), Verb (intransitive)",สร้าง
building,"Noun, Adjective",อาคาร
build up,"Verb (usu participle), Verb (intransitive)",สร้างขึ้น
bullet,Noun,หัวข้อย่อย
bunch,"Noun, Verb (usu participle)",กลุ่ม
burn,"Verb (usu participle), Verb (transitive)",เผา
burn down,"Verb (usu participle), Verb (transitive)",เผาไหม้
burnt,"Verb (usu participle), Adjective",เผา
burst,"Verb (usu participle), Verb (intransitive)",ระเบิด
burst into,"Verb (usu participle), Verb (intransitive)",ระเบิดเข้าไป
burst out,"Verb (usu participle), Verb (intransitive)",ระเบิดออกมา
bury,Verb (usu participle),ฝังศพ
bus,"Noun, Verb (usu participle)",รสบัส
bush,"Noun, Adjective",พุ่มไม้
business,"Noun, Adjective",ธุรกิจ
businessman,Noun,นักธุรกิจ
busy,"Adjective, Verb (usu participle)",ยุ่ง
but,"Conjunction, Preposition",แต่
butter,"Noun, Verb (transitive)",เนย
button,"Noun, Verb (usu participle)",ปุ่ม
buy,"Verb (usu participle), Verb (intransitive)",ซื้อ
buyer,Noun,ผู้ซื้อ
by,"Preposition, Adverb",โดย
bye,"Noun, Adjective",ลาก่อน
cabinet,"Noun, Adjective",ตู้
cable,"Noun, Verb (usu participle)",สายเคเบิล
cake,"Noun, Verb (transitive)",เค้ก
calculate,"Verb (usu participle), Verb (transitive)",คำนวณ
calculation,Noun,การคำนวณ
call,"Verb (usu participle), Verb (transitive)",เรียก
call back,"Verb (usu participle), Verb (transitive)",โทรกลับ
called,"Verb (usu participle), Adjective",เรียกว่า
call for,"Verb (usu participle), Verb (transitive)",เรียกร้อง
call off,"Verb (usu participle), Verb (transitive)",โทรออก
call up,"Verb (usu participle), Verb (transitive)",โทรขึ้นมา
calm,"Adjective, Noun",เงียบสงบ
calm down,"Adjective, Noun",สงบสติอารมณ์
calmly,Adverb,ใจเย็น
camera,Noun,กล้อง
camp,"Noun, Verb (intransitive)",ค่าย
campaign,"Noun, Verb (intransitive)",แคมเปญ
camping,"|, Noun",ตั้งแคมป์
can 1,"Verb (usu participle), Noun",สามารถ 1
can 2,"Verb (usu participle), Noun",สามารถ 2
cancel,"Verb (usu participle), Noun",ยกเลิก
cancer,Noun,มะเร็ง
candidate,Noun,ผู้สมัคร
candy,"Noun, Verb (usu participle)",ลูกอม
cannot,Verb (usu participle),ไม่สามารถ
cap,"Noun, Verb (usu participle)",หมวก
capable,Adjective,มีความสามารถ
capacity,Noun,ความจุ
capital,"Noun, Adjective",เมืองหลวง
captain,"Noun, Verb (transitive)",กัปตัน
capture,"Verb (transitive), Noun",การจับกุม
car,Noun,รถ
card,"Noun, Verb (transitive)",การ์ด
cardboard,"Noun, Adjective",กระดาษแข็ง
care,"Verb (usu participle), Verb (intransitive)",การดูแล
career,"Noun, Verb (intransitive)",อาชีพ
care for,"Verb (usu participle), Verb (intransitive)",ดูแล
careful,Adjective,ระมัดระวัง
carefully,Adverb,อย่างระมัดระวัง
careless,Adjective,สะเพร่า
carelessly,Adverb,อย่างไม่ระมัดระวัง
carpet,"Noun, Verb (transitive)",พรม
carrot,Noun,แครอท
carry,"Verb (usu participle), Verb (intransitive)",พก
carry on,"Verb (usu participle), Verb (intransitive)",ดำเนินการต่อไป
carry out,"Verb (usu participle), Verb (intransitive)",ดำเนินการ
case,"Noun, Verb (transitive)",กรณี
cash,"Noun, Verb (transitive)",เงินสด
cast,"Verb (usu participle), Verb (intransitive)",หล่อ
castle,"Noun, Verb (usu participle)",ปราสาท
cat,"Noun, Verb (usu participle)",แมว
catch,"Verb (usu participle), Verb (transitive)",จับ
catch up,"Verb (usu participle), Verb (transitive)",ตามทัน
category,Noun,หมวดหมู่
cause,"Noun, Verb (transitive)",สาเหตุ
CD,Noun,ซีดี
cease,"Verb (usu participle), Noun",หยุด
ceiling,Noun,เพดาน
celebrate,"Verb (usu participle), Verb (transitive)",ฉลอง
celebration,Noun,การเฉลิมฉลอง
cell,Noun,เซลล์
cell phone,Noun,โทรศัพท์มือถือ
cent,Noun,ร้อยละ
centimetre,Noun,เซนติเมตร
central,"Adjective, Noun",ศูนย์กลาง
centre,"Noun, Verb (usu participle)",ศูนย์
century,Noun,ศตวรรษ
ceremony,Noun,พิธี
certain,"Adverb, Definite Article",แน่ใจ
certainly,Adverb,แน่นอน
certificate,"Noun, Verb (usu participle)",ใบรับรอง
chain,"Noun, Verb (usu participle)",โซ่
chair,"Noun, Verb (transitive)",เก้าอี้
chairman,"Noun, Verb (usu participle)",ประธาน
chairwoman,Noun,ประธานหญิง
challenge,"Verb (usu participle), Verb (intransitive)",ท้าทาย
chamber,"Noun, Verb (transitive)",ห้อง
chance,"Noun, Verb (transitive)",โอกาส
change,"Verb (usu participle), Verb (transitive)",เปลี่ยน
change round,"Verb (usu participle), Verb (transitive)",เปลี่ยนรอบ
channel,"Noun, Verb (usu participle)",ช่อง
chapter,"Noun, Verb (transitive)",บท
character,"Noun, Verb (transitive)",อักขระ
characteristic,"Noun, Adjective",ลักษณะเฉพาะ
charge,"Verb (usu participle), Verb (transitive)",ค่าใช้จ่าย
charity,Noun,การกุศล
chart,"Noun, Verb (transitive)",แผนภูมิ
chase,"Verb (usu participle), Verb (transitive)",ไล่ล่า
chase away,"Verb (usu participle), Verb (transitive)",ไล่ล่าออกไป
chat,"Noun, Verb (usu participle)",แชท
cheap,"Adjective, Noun",ราคาถูก
cheaply,Adverb,ราคาถูก
cheat,"Verb (usu participle), Verb (intransitive)",โกง
cheat of,"Verb (usu participle), Verb (intransitive)",โกงของ
check,"Verb (usu participle), Verb (intransitive)",ตรวจสอบ
check in,"Verb (usu participle), Verb (intransitive)",เช็คอิน
check into,"Verb (usu participle), Verb (intransitive)",เช็คอิน
check on,"Verb (usu participle), Verb (intransitive)",ตรวจสอบ
check out,"Verb (usu participle), Verb (intransitive)",ตรวจสอบ
check over,"Verb (usu participle), Verb (intransitive)",ตรวจสอบอีกครั้ง
check up on,"Verb (usu participle), Verb (intransitive)",ตรวจสอบบน
cheek,"Noun, Verb (transitive)",แก้ม
cheerful,Adjective,ร่าเริง
cheerfully,Adverb,อย่างร่าเริง
cheese,"Noun, Verb (usu participle)",ชีส
chemical,"Noun, Adjective",เคมี
chemist,Noun,นักเคมี
chemistry,Noun,เคมี
cheque,"Noun, Verb (usu participle)",ตรวจสอบ
chest,Noun,หน้าอก
chew,"Verb (usu participle), Verb (intransitive)",เคี้ยว
chicken,"Noun, Adjective",ไก่
chief,"Noun, Adjective",หัวหน้า
child,Noun,เด็ก
chin,"Adjective, Noun",คาง
chip,"Noun, Verb (usu participle)",ชิป
chocolate,"Noun, Adjective",ช็อคโกแลต
choice,"Noun, Adjective",ทางเลือก
choose,"Verb (usu participle), Verb (transitive)",เลือก
chop,"Verb (usu participle), Verb (transitive)",สับ
chop down,"Verb (usu participle), Verb (transitive)",สับลง
chop off,"Verb (usu participle), Verb (transitive)",สับออก
church,"Noun, Verb (transitive)",คริสตจักร
cigarette,Noun,บุหรี่
cinema,Noun,โรงหนัง
circle,"Noun, Verb (usu participle)",วงกลม
circumstance,"Noun, Verb (transitive)",สถานการณ์
citizen,Noun,พลเมือง
city,Noun,เมือง
civil,Adjective,พลเรือน
claim,"Verb (usu participle), Noun",เรียกร้อง
clap,"Verb (usu participle), Verb (transitive)",ตบมือ
class,"Noun, Verb (usu participle)",ระดับ
classic,"Adjective, Noun",คลาสสิค
classroom,Noun,ห้องเรียน
clean,"Adjective, Verb (usu participle)",ทำความสะอาด
clean up,"Adjective, Verb (usu participle)",ทำความสะอาด
clear,"Adjective, Verb (transitive)",ชัดเจน
clearly,Adverb,ชัดเจน
clear out,"Adjective, Verb (transitive)",เคลียร์ออก
clear up,"Adjective, Verb (transitive)",ชัดเจนขึ้น
clerk,"Noun, Verb (intransitive)",พนักงาน
clever,Adjective,ฉลาด
click,"Noun, Verb (usu participle)",คลิก
client,Noun,ลูกค้า
climate,Noun,ภูมิอากาศ
climb,"Verb (usu participle), Noun",ปีน
climbing,"|, Noun",การปีนป่าย
clock,"Noun, Verb (transitive)",นาฬิกา
